DIA;CONC;MTT;%MTT
4;10;0,125;52,76116778
4;10;0,112;47,27400633
4;10;0,097;40,9426662
4;10;0,09;37,9880408
4;10;0,071;29,9683433
4;10;0,065;27,43580725
4;10;0,053;22,37073514
4;10;0,07;29,54625396
4;10;0,053;22,37073514
4;10;0,181;76,39817095
4;50;0,024;10,13014421
4;50;0,013;5,487161449
4;50;0,016;6,753429476
4;50;0,013;5,487161449
4;50;0,013;5,487161449
4;50;0,01;4,220893422
4;50;0,009;3,79880408
4;50;0,006;2,532536053
4;50;0,006;2,532536053
4;50;0,005;2,110446711
4;50;0,005;2,110446711
4;50;0,007;2,954625396
4;50;0,01;4,220893422
4;50;0,008;3,376714738
4;50;0,006;2,532536053
4;50;0,011;4,642982765
4;50;0,01;4,220893422
4;50;0,009;3,79880408
4;50;0,01;4,220893422
4;50;0,009;3,79880408
4;50;0,01;4,220893422
4;50;0,009;3,79880408
4;50;0,008;3,376714738
4;50;0,007;2,954625396
4;100;0,014;5,909250791
4;100;0,011;4,642982765
4;100;0,007;2,954625396
4;100;0,007;2,954625396
4;100;0,008;3,376714738
4;100;0,007;2,954625396
4;100;0,007;2,954625396
4;100;0,006;2,532536053
4;100;0,008;3,376714738
4;100;0,012;5,065072107
4;100;0,009;3,79880408
4;100;0,007;2,954625396
4;100;0,01;4,220893422
4;100;0,008;3,376714738
4;100;0,006;2,532536053
4;100;0,011;4,642982765
4;100;0,01;4,220893422
4;100;0,009;3,79880408
4;100;0,01;4,220893422
4;100;0,009;3,79880408
4;100;0,01;4,220893422
4;100;0,009;3,79880408
4;100;0,008;3,376714738
4;100;0,007;2,954625396
4;500;0,026;10,9743229
4;500;0,013;5,487161449
4;500;0,014;5,909250791
4;500;0,011;4,642982765
4;500;0,009;3,79880408
4;500;0,007;2,954625396
4;500;0,006;2,532536053
4;500;0,004;1,688357369
4;500;0,004;1,688357369
4;500;0,006;2,532536053
4;500;0,001;0,422089342
4;500;0,004;1,688357369
4;500;0,014;5,909250791
4;500;0,01;4,220893422
4;500;0,01;4,220893422
