DIA;CONC;MTT;%MTT
5;10;0,155;61,9586942
5;10;0,169;67,55496336
5;10;0,146;58,3610926
5;10;0,14;55,96269154
5;10;0,164;65,5562958
5;10;0,165;65,95602931
5;50;0,016;6,395736176
5;50;0,021;8,394403731
5;50;0,01;3,99733511
5;50;0,01;3,99733511
5;50;0,017;6,795469687
5;50;0,014;5,596269154
5;50;0,015;5,996002665
5;50;0,015;5,996002665
5;50;0,019;7,594936709
5;50;0,014;5,596269154
5;50;0,016;6,395736176
5;50;0,013;5,196535643
5;50;0,021;8,394403731
5;50;0,025;9,993337775
5;50;0,01;3,99733511
5;50;0,017;6,795469687
5;50;0,008;3,197868088
5;50;0,014;5,596269154
5;50;0,016;6,395736176
5;50;0,019;7,594936709
5;50;0,013;5,196535643
5;50;0,017;6,795469687
5;50;0,016;6,395736176
5;50;0,012;4,796802132
5;100;0,01;3,99733511
5;100;0,008;3,197868088
5;100;0,008;3,197868088
5;100;0,008;3,197868088
5;100;0,008;3,197868088
5;100;0,008;3,197868088
5;100;0,01;3,99733511
5;100;0,008;3,197868088
5;100;0,008;3,197868088
5;100;0,009;3,597601599
5;100;0,008;3,197868088
5;100;0,006;2,398401066
5;100;0,01;3,99733511
5;100;0,018;7,195203198
5;100;0,008;3,197868088
5;100;0,015;5,996002665
5;100;0,008;3,197868088
5;100;0,006;2,398401066
5;100;0,002;0,799467022
5;100;0,011;4,397068621
5;100;0,006;2,398401066
5;100;0,009;3,597601599
5;100;0,008;3,197868088
5;100;0,011;4,397068621
5;500;0,008;3,197868088
5;500;0,008;3,197868088
5;500;0,01;3,99733511
5;500;0,005;1,998667555
5;500;0,005;1,998667555
5;500;0,006;2,398401066
5;500;0,011;4,397068621
5;500;0,007;2,798134577
5;500;0,006;2,398401066
5;500;0,004;1,598934044
5;500;0,008;3,197868088
5;500;0,006;2,398401066
5;500;0,008;3,197868088
5;500;0,01;3,99733511
5;500;0,015;5,996002665
5;500;0,016;6,395736176
5;500;0,013;5,196535643
5;500;0,011;4,397068621
5;500;0,008;3,197868088
5;500;0,008;3,197868088
5;500;0,009;3,597601599
5;500;0,008;3,197868088
5;500;0,005;1,998667555
5;500;0,006;2,398401066
5;1000;0,012;4,796802132
5;1000;0,012;4,796802132
5;1000;0,01;3,99733511
5;1000;0,005;1,998667555
5;1000;0,005;1,998667555
5;1000;0,006;2,398401066
5;1000;0,005;1,998667555
5;1000;0,009;3,597601599
5;1000;0,008;3,197868088
5;1000;0,007;2,798134577
5;1000;0,001;0,399733511
5;1000;0,003;1,199200533
5;1000;0,01;3,99733511
5;1000;0,008;3,197868088
5;1000;0,011;4,397068621
5;1000;0,007;2,798134577
5;1000;0,006;2,398401066
5;1000;0,004;1,598934044
5;1000;0,004;1,598934044
5;1000;0,008;3,197868088
5;1000;0,009;3,597601599
5;1000;0,007;2,798134577
5;1000;0;0
5;1000;0,002;0,799467022
